"","Species","Natural_Resident","Introduced","Endemic","Likely"
"408","Thorius insperatus Hanken and Wake, 1994","Mexico","","Mexico",""
"409","Thorius longicaudus Parra-Olea, Rovito, García-París, Maisano, Wake, and Hanken, 2016","Mexico","","Mexico",""
"410","Thorius lunaris Hanken and Wake, 1998","Mexico","","Mexico",""
"411","Thorius macdougalli Taylor, 1949","Mexico","","Mexico",""
"412","Thorius magnipes Hanken and Wake, 1998","Mexico","","Mexico",""
"413","Thorius maxillabrochus Gehlbach, 1959","Mexico","","Mexico",""
"414","Thorius minutissimus Taylor, 1949","Mexico","","Mexico",""
"415","Thorius minydemus Hanken and Wake, 1998","Mexico","","Mexico",""
"416","Thorius munificus Hanken and Wake, 1998","Mexico","","Mexico",""
"417","Thorius narismagnus Shannon and Werler, 1955","Mexico","","Mexico",""
"418","Thorius narisovalis Taylor, 1940","Mexico","","Mexico",""
"419","Thorius omiltemi Hanken, Wake, and Freeman, 1999","Mexico","","Mexico",""
"420","Thorius papaloae Hanken and Wake, 2001","Mexico","","Mexico",""
"421","Thorius pennatulus Cope, 1869","Mexico","","Mexico",""
"422","Thorius pinicola Parra-Olea, Rovito, García-París, Maisano, Wake, and Hanken, 2016","Mexico","","Mexico",""
"423","Thorius pulmonaris Taylor, 1940","Mexico","","Mexico",""
"424","Thorius schmidti Gehlbach, 1959","Mexico","","Mexico",""
"425","Thorius smithi Hanken and Wake, 1994","Mexico","","Mexico",""
"426","Thorius spilogaster Hanken and Wake, 1998","Mexico","","Mexico",""
"427","Thorius tlaxiacus Parra-Olea, Rovito, García-París, Maisano, Wake, and Hanken, 2016","Mexico","","Mexico",""
"428","Thorius troglodytes Taylor, 1941","Mexico","","Mexico",""
"429","Aneides lugubris (Hallowell, 1849)","Mexico, United States of America, United States of America - California","","",""
"430","Ensatina eschscholtzii Gray, 1850","Canada, Mexico, United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","United States of America - Arizona","",""
"431","Notophthalmus meridionalis (Cope, 1880)","Mexico, United States of America, United States of America - Texas","","",""
"432","Siren nettingi Goin, 1942","Mexico, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Texas","","",""
"433","Dermophis mexicanus (Duméril and Bibron, 1841)","El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","",""
"434","Dermophis oaxacae (Mertens, 1930)","Mexico","","Mexico",""
"435","Gymnopis syntrema (Cope, 1866)","Belize, Guatemala, Mexico","","",""
